Time,Time_EST,action,Order,lot size,Price,S/L,TP,Profit,Balance,entry
2023-10-16 11:45:00,2023-10-16 04:45:00,buy,1,7,1.05364,1.05254,0,0.0,100000.0,
2023-10-16 12:00:00,2023-10-16 05:00:00,modify,1,7,1.05364,1.05294,0,0.0,100000.0,
2023-10-16 12:45:00,2023-10-16 05:45:00,close,1,7,1.05377,1.05294,0,91.0,100091.0, Closing Buy Ticket: 3 bar rule Ticket #: 1
2023-10-16 17:00:00,2023-10-16 10:00:00,sell,2,7,1.05298,1.05408,0,0.0,100091.0,
2023-10-16 17:30:00,2023-10-16 10:30:00,close,2,7,1.05395,1.05408,0,-679.0,99412.0, Closing Sell Ticket: SMI crossing above -40 Ticket #: 2
2023-10-16 18:30:00,2023-10-16 11:30:00,buy,3,7,1.05458,1.05348,0,0.0,99412.0,
2023-10-16 18:45:00,2023-10-16 11:45:00,modify,3,7,1.05458,1.05379,0,0.0,99412.0,
2023-10-16 19:00:00,2023-10-16 12:00:00,close,3,7,1.05446,1.05379,0,-84.0,99328.0, Closing Buy Ticket: SMI crossing below 40 Ticket #: 3
2023-10-17 11:45:00,2023-10-17 04:45:00,sell,4,7,1.05352,1.05462,0,0.0,99328.0,
2023-10-17 12:15:00,2023-10-17 05:15:00,close,4,7,1.05445,1.05462,0,-651.0,98677.0, Closing Sell Ticket: SMI crossing above -40 Ticket #: 4
2023-10-17 17:30:00,2023-10-17 10:30:00,buy,5,7,1.05803,1.05693,0,0.0,98677.0,
2023-10-17 18:15:00,2023-10-17 11:15:00,modify,5,7,1.05803,1.05741,0,0.0,98677.0,
2023-10-17 18:45:00,2023-10-17 11:45:00,modify,5,7,1.05803,1.05785,0,0.0,98677.0,
2023-10-17 19:00:00,2023-10-17 12:00:00,modify,5,7,1.05803,1.05811,0,0.0,98677.0,
2023-10-17 19:15:00,2023-10-17 12:15:00,modify,5,7,1.05803,1.05812,0,0.0,98677.0,
2023-10-17 19:30:00,2023-10-17 12:30:00,modify,5,7,1.05803,1.05813,0,0.0,98677.0,
2023-10-17 19:48:00,2023-10-17 12:48:00,s/l,5,7,1.05813,1.05813,0,70.0,98747.0,stoploss
2023-10-17 22:00:00,2023-10-17 15:00:00,sell,6,7,1.0569,1.058,0,0.0,98747.0,
2023-10-17 22:15:00,2023-10-17 15:15:00,close,6,7,1.05774,1.058,0,-588.0,98159.0, Closing Sell Ticket: SMI crossing above -40 Ticket #: 6
2023-10-18 11:30:00,2023-10-18 04:30:00,sell,7,7,1.05742,1.05852,0,0.0,98159.0,
2023-10-18 11:45:00,2023-10-18 04:45:00,close,7,7,1.05834,1.05852,0,-644.0,97515.0, Closing Sell Ticket: Impulse flip Ticket #: 7
2023-10-18 12:15:00,2023-10-18 05:15:00,buy,8,7,1.0585,1.0574,0,0.0,97515.0,
2023-10-18 12:46:00,2023-10-18 05:46:00,s/l,8,7,1.0574,1.0574,0,-770.0,96745.0,stoploss
2023-10-18 13:00:00,2023-10-18 06:00:00,sell,9,7,1.05691,1.05801,0,0.0,96745.0,
2023-10-18 14:45:00,2023-10-18 07:45:00,close,9,7,1.05624,1.05801,0,469.0,97214.0, Closing Sell Ticket: 3 bar rule Ticket #: 9
2023-10-18 16:45:00,2023-10-18 09:45:00,sell,10,7,1.05527,1.05637,0,0.0,97214.0,
2023-10-18 18:45:00,2023-10-18 11:45:00,modify,10,7,1.05527,1.05402,0,0.0,97214.0,
2023-10-18 19:15:00,2023-10-18 12:15:00,modify,10,7,1.05527,1.05352,0,0.0,97214.0,
2023-10-18 19:48:00,2023-10-18 12:48:00,s/l,10,7,1.05352,1.05352,0,1225.0,98439.0,stoploss
2023-10-18 22:30:00,2023-10-18 15:30:00,sell,11,7,1.05357,1.05467,0,0.0,98439.0,
2023-10-19 00:00:00,2023-10-18 17:00:00,close,11,7,1.05365,1.05467,0,15.63,98454.63, Closing Sell Ticket: SMI crossing above -40 Ticket #: 11
2023-10-19 13:00:00,2023-10-19 06:00:00,buy,12,7,1.05444,1.05334,0,0.0,98454.63,
2023-10-19 13:15:00,2023-10-19 06:15:00,modify,12,7,1.05444,1.05378,0,0.0,98454.63,
2023-10-19 13:45:00,2023-10-19 06:45:00,modify,12,7,1.05444,1.05381,0,0.0,98454.63,
2023-10-19 14:00:00,2023-10-19 07:00:00,modify,12,7,1.05444,1.05399,0,0.0,98454.63,
2023-10-19 14:15:00,2023-10-19 07:15:00,modify,12,7,1.05444,1.05477,0,0.0,98454.63,
2023-10-19 14:45:00,2023-10-19 07:45:00,modify,12,7,1.05444,1.05478,0,0.0,98454.63,
2023-10-19 15:15:00,2023-10-19 08:15:00,modify,12,7,1.05444,1.0551,0,0.0,98454.63,
2023-10-19 15:30:00,2023-10-19 08:30:00,modify,12,7,1.05444,1.05548,0,0.0,98454.63,
2023-10-19 15:45:00,2023-10-19 08:45:00,modify,12,7,1.05444,1.05611,0,0.0,98454.63,
2023-10-19 16:00:00,2023-10-19 09:00:00,modify,12,7,1.05444,1.05652,0,0.0,98454.63,
2023-10-19 17:30:00,2023-10-19 10:30:00,close,12,7,1.05707,1.05652,0,1841.0,100295.63, Closing Buy Ticket: PSAR flip Ticket #: 12
2023-10-19 18:45:00,2023-10-19 11:45:00,buy,13,7,1.05779,1.05669,0,0.0,100295.63,
2023-10-19 19:00:00,2023-10-19 12:00:00,s/l,13,7,1.05669,1.05669,0,-770.0,99525.63,stoploss
2023-10-20 13:45:00,2023-10-20 06:45:00,buy,14,7,1.05875,1.05765,0,0.0,99525.63,
2023-10-20 14:15:00,2023-10-20 07:15:00,modify,14,7,1.05875,1.05785,0,0.0,99525.63,
2023-10-20 14:30:00,2023-10-20 07:30:00,modify,14,7,1.05875,1.058,0,0.0,99525.63,
2023-10-20 14:45:00,2023-10-20 07:45:00,modify,14,7,1.05875,1.05838,0,0.0,99525.63,
2023-10-20 15:00:00,2023-10-20 08:00:00,close,14,7,1.05906,1.05838,0,217.0,99742.63, Closing Buy Ticket: SMI crossing below 40 Ticket #: 14
