Date,Event,Impact,Currency
2024-05-06 10:00:00,(Spain) Unemployment Change,High,EUR
2024-05-06 10:15:00,(Spain) HCOB Services PMI,High,EUR
2024-05-06 10:45:00,(Italy) HCOB Services PMI,High,EUR
2024-05-06 10:50:00,(France) HCOB Services PMI,High,EUR
2024-05-06 10:55:00,(Germany) HCOB Services PMI,High,EUR
2024-05-06 11:00:00,(Euro Area) HCOB Services PMI,High,EUR
2024-05-07 09:00:00,(Germany) Balance of Trade,High,EUR
2024-05-07 12:00:00,(Euro Area) Retail Sales MoM,High,EUR
2024-05-07 12:00:00,(Euro Area) Retail Sales YoY,High,EUR
2024-05-08 11:00:00,(Italy) Retail Sales YoY,High,EUR
2024-05-08 11:00:00,(Italy) Retail Sales MoM,High,EUR
2024-05-09 15:15:00,(Euro Area) ECB Guindos Speech,High,EUR
2024-05-09 15:30:00,(United States) Jobless Claims 4-week Average,High,USD
2024-05-09 15:30:00,(United States) Initial Jobless Claims,High,USD
2024-05-09 15:30:00,(United States) Continuing Jobless Claims,High,USD
2024-05-10 17:00:00,(United States) Michigan Consumer Sentiment,High,USD
