Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
59840139,2024.05.06 17:00:02,buy,0.01,eurusd,1.07867,1.07767,0,2024.05.06 17:05:03,1.0785,0,0,0,-0.17
59840275,2024.05.06 17:05:02,buy,0.01,eurusd,1.07852,1.07752,0,2024.05.06 17:08:39,1.07837,0,0,0,-0.15
59841800,2024.05.06 18:00:01,sell,0.01,eurusd,1.07796,1.07896,0,2024.05.06 19:00:04,1.07789,0,0,0,0.07
59843442,2024.05.06 19:00:03,buy,0.01,eurusd,1.07788,1.07688,0,2024.05.06 19:51:31,1.07733,0,0,0,-0.55
59845292,2024.05.06 22:00:02,buy,0.01,eurusd,1.07747,1.07647,0,2024.05.06 23:55:02,1.07696,0,0,0,-0.51
59846205,2024.05.07 03:00:03,buy,0.01,eurusd,1.07681,1.07581,0,2024.05.07 07:00:21,1.07687,0,0,0,0.06
59846259,2024.05.07 04:00:05,buy,0.01,eurusd,1.07749,1.07649,0,2024.05.07 04:47:41,1.07649,0,0,0,-1
59846431,2024.05.07 07:00:20,buy,0.01,eurusd,1.07689,1.07589,0,2024.05.07 08:56:44,1.07589,0,0,0,-1
59846632,2024.05.07 10:00:04,buy,0.01,eurusd,1.07642,1.07542,0,2024.05.07 13:00:04,1.07598,0,0,0,-0.44
59847674,2024.05.07 12:00:03,buy,0.01,eurusd,1.07638,1.07538,0,2024.05.07 13:00:05,1.07598,0,0,0,-0.4
59848762,2024.05.07 13:00:03,buy,0.01,eurusd,1.076,1.075,0,2024.05.07 16:00:03,1.07759,0,0,0,1.59
59849485,2024.05.07 15:00:03,sell,0.01,eurusd,1.07666,1.07766,0,2024.05.07 15:39:29,1.07766,0,0,0,-1
59854260,2024.05.07 17:00:03,buy,0.01,eurusd,1.07808,1.07708,0,2024.05.07 18:41:10,1.07708,0,0,0,-1
59857273,2024.05.07 18:00:03,buy,0.01,eurusd,1.07777,1.07677,0,2024.05.07 18:58:37,1.07677,0,0,0,-1
59860840,2024.05.07 21:00:04,buy,0.01,eurusd,1.07562,1.07462,0,2024.05.07 23:00:04,1.07564,0,0,0,0.02
59862954,2024.05.08 03:00:04,buy,0.01,eurusd,1.07503,1.07403,0,2024.05.08 04:59:57,1.07403,0,0,0,-1
59863207,2024.05.08 08:00:05,sell,0.01,eurusd,1.07411,1.07511,0,2024.05.08 12:00:04,1.0745,0,0,0,-0.39
59863434,2024.05.08 11:00:04,buy,0.01,eurusd,1.07379,1.07279,0,2024.05.08 14:00:04,1.07488,0,0,0,1.09
59863558,2024.05.08 12:00:03,sell,0.01,eurusd,1.07446,1.07546,0,2024.05.08 17:23:32,1.07546,0,0,0,-1
59863929,2024.05.08 15:00:02,buy,0.01,eurusd,1.07463,1.07363,0,2024.05.08 22:00:04,1.07453,0,0,0,-0.1
59865481,2024.05.08 18:00:02,buy,0.01,eurusd,1.07492,1.07392,0,2024.05.08 20:00:05,1.07458,0,0,0,-0.34
59866016,2024.05.08 20:00:04,sell,0.01,eurusd,1.07458,1.07558,0,2024.05.09 00:04:53,1.07558,0,0,0.1,-1
59866410,2024.05.08 22:00:03,buy,0.01,eurusd,1.07454,1.07354,0,2024.05.08 23:55:06,1.07473,0,0,0,0.19
59866663,2024.05.09 01:00:03,sell,0.01,eurusd,1.07488,1.07588,0,2024.05.09 02:00:06,1.07496,0,0,0,-0.08
59866733,2024.05.09 02:00:05,buy,0.01,eurusd,1.07496,1.07396,0,2024.05.09 09:41:29,1.07396,0,0,0,-1
59876927,2024.05.09 18:00:04,buy,0.01,eurusd,1.07768,1.07668,0,2024.05.09 23:55:02,1.07823,0,0,0,0.55
59884698,2024.05.10 02:00:02,buy,0.01,eurusd,1.07851,1.07751,0,2024.05.10 05:11:21,1.07751,0,0,0,-1
59884740,2024.05.10 07:00:05,buy,0.01,eurusd,1.07763,1.07663,0,2024.05.10 14:00:06,1.07786,0,0,0,0.23
59885847,2024.05.10 13:00:03,buy,0.01,eurusd,1.07795,1.07695,0,2024.05.10 15:42:04,1.07695,0,0,0,-1
59886172,2024.05.10 14:00:05,buy,0.01,eurusd,1.07786,1.07686,0,2024.05.10 15:42:35,1.07686,0,0,0,-1
