datetime,open,high,low,close,volume,ohlc4,sma,smoothing_sma,sma_diff,sma_sign,sma_crossover,sma_signal,brick_color,day_of_week,day_of_week_transition,take_profit,stop_loss,position_count,cum_position_count,stop_loss_hit,
31:29.4,1.0419,1.0422,1.04175,1.0422,196,1.0420125,1.041694167,1.041705,-1.08E-05,-1,0,sell,green,Tuesday,0,,1.0422,0,46,1,0
16:02.3,1.0347,1.03517,1.0344,1.0344,1171,1.0346675,1.0348975,1.034876944,2.06E-05,1,0,buy,red,Wednesday,0,,1.0344,0,103,1,0
24:30.1,1.0365,1.0368,1.03624,1.0368,514,1.036585,1.036324167,1.036342222,-1.81E-05,-1,0,sell,green,Friday,0,,1.0368,0,220,1,0
23:08.9,1.0365,1.0368,1.03634,1.0368,1026,1.03661,1.036305833,1.036317778,-1.19E-05,-1,0,sell,green,Friday,0,,1.0368,0,234,1,0
29:41.9,1.0239,1.02407,1.0236,1.0236,480,1.0237925,1.024086667,1.024081944,4.72E-06,1,0,buy,red,Monday,0,,1.0236,0,277,1,0
00:31.5,1.0365,1.0367,1.0362,1.0362,223,1.0364,1.036694167,1.036684444,9.72E-06,1,0,buy,red,Wednesday,0,,1.0362,0,361,1,0
04:48.3,1.0419,1.04246,1.0416,1.0416,1980,1.04189,1.042108333,1.042080556,2.78E-05,1,0,buy,red,Thursday,0,,1.0416,0,407,1,0
32:47.4,1.0419,1.0422,1.04182,1.0422,1000,1.04203,1.041700833,1.041701389,-5.56E-07,-1,0,sell,green,Friday,0,,1.0422,0,422,1,0
55:28.0,1.0329,1.03328,1.0326,1.0326,609,1.032845,1.033084167,1.033070833,1.33E-05,1,0,buy,red,Tuesday,0,,1.0326,0,523,1,0
44:05.7,1.0365,1.03655,1.0362,1.0362,101,1.0363625,1.036640833,1.036636389,4.44E-06,1,0,buy,red,Tuesday,0,,1.0362,0,535,1,0
59:00.2,1.0347,1.035,1.0347,1.035,393,1.03485,1.034539167,1.0345525,-1.33E-05,-1,0,sell,green,Wednesday,0,,1.035,0,548,1,0
30:02.0,1.0494,1.04985,1.0491,1.0491,758,1.0493625,1.049621667,1.049596111,2.56E-05,1,0,buy,red,Thursday,0,,1.0491,0,651,1,0
08:26.8,1.0512,1.0515,1.05065,1.0515,4002,1.0512125,1.05097,1.0509925,-2.25E-05,-1,0,sell,green,Friday,0,,1.0515,0,672,1,0
09:46.4,1.053,1.0533,1.05276,1.0533,495,1.05309,1.052836667,1.052855556,-1.89E-05,-1,0,sell,green,Friday,0,,1.0533,0,676,1,0
41:20.0,1.0494,1.0497,1.04933,1.0497,484,1.0495325,1.049215833,1.049217778,-1.94E-06,-1,0,sell,green,Tuesday,0,,1.0497,0,796,1,0
26:01.1,1.0476,1.0479,1.04725,1.0479,1784,1.0476625,1.0473975,1.047417778,-2.03E-05,-1,0,sell,green,Wednesday,0,,1.0479,0,816,1,0
37:58.0,1.0476,1.04763,1.0473,1.0473,341,1.0474575,1.047774167,1.047755556,1.86E-05,1,0,buy,red,Wednesday,0,,1.0473,0,817,1,0
18:38.5,1.0512,1.05167,1.0509,1.0509,2218,1.0511675,1.05143,1.051391389,3.86E-05,1,0,buy,red,Wednesday,0,,1.0509,0,849,1,0
